var,value
x0_1,1
x1_0,0
x1_2,1
x2_1,0
x2_3,1
x3_2,1
x2_7,1
x7_2,1
x2_9,1
x9_2,0
x3_0,1
x0_3,0
x4_3,1
x3_4,0
x5_4,1
x4_5,0
x6_5,1
x5_6,0
x8_9,1
x9_8,1
x9_6,1
x6_9,0
